Restaurant,Rating,Cuisine,Delivery_Time,Location,Distance_km,Restaurant_ID,Delivery_Category
Barbeque Nation,4.1,"North Indian,Barbecue,Kebabs,Biryani,Street Food,Snacks",47,Attapur,4.7,659667,Slow Delivery
Little Italy,4.3,"Italian,Pizzas,Pastas,Salads,Desserts",47,Jubilee Hills,5.0,1203,Slow Delivery
Homely,3.6,"Home Food,North Indian,South Indian,Beverages,Desserts,Thalis",30,Sun City,4.5,180324,Medium Delivery
Pista House Haleem,4.5,Haleem,38,Mehdipatnam,4.5,370716,Slow Delivery
Bakingo,4.6,Bakery,34,Tolichowki,4.2,436045,Medium Delivery
Go Zero Ice Creams & Desserts,4.4,"Ice Cream,Desserts,Healthy Food",32,Manikonda,4.5,691049,Medium Delivery
Grameen Kulfi,4.6,"Ice Cream,Desserts",41,Toli Chowki,3.9,355750,Slow Delivery
LeanCrust Pizza- ThinCrust Experts,4.4,"Pizzas,Italian,Desserts",25,Mehdipatnam,3.0,681556,Fast Delivery
Baskin Robbins - Ice Cream Desserts,4.4,Desserts,33,Toli Chowki,3.0,22260,Medium Delivery
Al Rabea Al Arabi Cafeteria,4.4,"Arabian,Lebanese",34,Mehdipatnam,3.0,28108,Medium Delivery
Imperial Multicuisine Restaurant,4.3,"Biryani,Chinese,Indian,Kebabs,Tandoor",36,Tolichowki,3.0,140111,Slow Delivery
Paradise Biryani,4.2,"Biryani,Kebabs,North Indian,Hyderabadi",34,GUDIMALKAPUR,3.0,647286,Medium Delivery
"Faasos - Wraps, Rolls & Shawarma",3.9,"Kebabs,Fast Food,Snacks,American,Healthy Food,Desserts,Beverages",30,Sun City,5.0,57211,Medium Delivery
Behrouz Biryani,3.7,"Biryani,Kebabs,Mughlai,Lucknowi,Hyderabadi,Desserts,Beverages",31,Sun City,5.0,57212,Medium Delivery
LunchBox - Meals and Thalis,4.2,"Thalis,North Indian,Biryani,South Indian,Desserts,Beverages",30,Sun City,5.0,63016,Medium Delivery
The Biryani Life,3.4,"Biryani,Mughlai,Lucknowi,Hyderabadi,Kebabs,Desserts,Beverages",32,Sun City,5.0,189371,Medium Delivery
Sweet Truth - Cake and Desserts,4.3,"Desserts,Ice Cream,Bakery,Beverages",27,Sun City,5.0,57215,Medium Delivery
Mealy - Your Everyday Meal,4.3,"Street Food,North Indian,Beverages",34,Sun City,4.5,1148002,Medium Delivery
Wow! Momo,4.0,"Momos,Chinese,fastfood,Asian,Beverages",41,ATTAPUR IOCL,4.2,1272421,Slow Delivery
Pizza Hut,4.3,Pizzas,40,Santosh Nagar,5.0,677776,Slow Delivery
